ReactionTube, Name, Counts
1,NSB,213
2,NSB,223
3,ZA,4978
4,ZA,4646
5,STD 1,337
6,STD 1,332
7,STD 2,501
8,STD 2,530
9,STD 3,876
10,STD 3,864
11,STD 4,1425
12,STD 4,1321
13,STD 5,2115
14,STD 5,2114
15,STD 6,2940
16,STD 6,2933
17,STD 7,3655
18,STD 7,3747
19,STD 8,4234
20,STD 8,4186
21,STD 9,4408
22,STD 9,4347
23,ZA,4770
24,ZA,4714
27,STD 8,4214
28,STD 8,4298
29,STD 5,2062
30,STD 5,2062
31,STD 2,501
32,STD 2,480
41,ZA,4674
42,ZA,4640
81,ZA,4819
82,ZA,4765
121,STD 7,3760
122,STD 7,3829
159,STD 5,2210
160,STD 5,2225
197,STD 2,587
198,STD 2,609
231,STD 8,4368
232,STD 8,4309
233,STD 5,2088
234,STD 5,2157
235,STD 2,595
236,STD 2,696
267,ZA,4889
268,ZA,4782
285,STD 8,4299
286,STD 8,4365
287,STD 5,2144
288,STD 5,2214
289,STD 2,659
290,STD 2,618
299,ZA,4806
300,ZA,4841
325,STD 7,3942
326,STD 7,3767
361,STD 5,2086
362,STD 5,2129
413,STD 2,644
414,STD 2,627
427,STD 8,4431
428,STD 8,4285
429,STD 5,2280
430,STD 5,2156
431,STD 2,536
432,STD 2,663
441,ZA,4827
442,ZA,4769
